Date,Open,High,Low,Close,Volume
2024-04-22,50.38,51.7699,49.17,50.92,71302374
2024-04-23,51.62,53.615,51.49,53.19,75917526
2024-04-24,54.32,54.91,52.8318,53.71,72158392
2024-04-25,50.9,53.19,50.48,52.85,86413647
2024-04-26,54.03,55.87,53.77,55.28,67997318
2024-04-29,56.08,56.3301,54.875,55.94,51177477
2024-04-30,55.3,55.8499,52.7315,52.735,62624286
2024-05-01,52.15,54.8,51.27,51.6,104038426
2024-05-02,52.92,53.845,51.201,53.51,62414949
2024-05-03,56.33,57.11,55.73,56.7,75439019
2024-05-06,57.42,58.6,57.115,58.56,41265370
2024-05-07,58.72,59.23,58.283,58.56,46660191
2024-05-08,57.5,59.015,57.45,58.45,39013598
2024-05-09,58.5,58.9993,57.75,58.77,40719623
2024-05-10,59.36,60.0699,58.54,59.17,46334849
2024-05-13,59.92,59.97,58.9802,59.56,33861003
2024-05-14,59.36,60.9,59.28,60.67,46476431
2024-05-15,61.69,63.615,61.06,63.47,65240719
2024-05-16,63.36,64.2,62.99,63.08,43857620
2024-05-17,63.09,63.355,62.02,62.94,35049847
2024-05-20,63.02,64.53,62.945,64.24,37269511
2024-05-21,63.44,64.67,63.35,64.57,31156965
2024-05-22,64.69,65.0,63.42,64.53,40019688
2024-05-23,66.5,66.51,62.8014,63.57,65438940
2024-05-24,64.25,65.89,63.94,65.35,41279013
2024-05-28,65.86,66.1,64.8,66.06,41593155
2024-05-29,64.24,65.44,64.2,64.68,39641112
2024-05-30,64.25,64.295,61.99,62.6,42782383
2024-05-31,62.6,62.89,58.96,62.53,71873156
2024-06-03,63.73,64.1499,60.9618,63.14,55717481
2024-06-04,63.0,64.13,62.27,63.61,44245905
2024-06-05,65.12,67.48,64.65,67.45,52435719
2024-06-06,67.74,67.875,66.85,67.37,36515552
2024-06-07,67.12,68.325,66.62,67.12,44971673
2024-06-10,66.59,68.0599,66.48,67.83,36226832
2024-06-11,67.32,69.3187,66.66,69.23,35693367
2024-06-12,71.01,73.02,70.72,71.96,62201343
2024-06-13,73.57,73.8885,72.07,73.11,43642505
2024-06-14,72.95,74.21,72.73,74.17,35777482
2024-06-17,74.28,77.72,73.67,76.86,46677296
2024-06-18,76.83,77.232,76.06,76.9,33216648
2024-06-20,77.46,77.66,74.221,75.09,52727537
2024-06-21,74.9,75.53,73.7219,74.4,38856467
2024-06-24,73.82,74.63,71.8001,71.88,46877274
2024-06-25,72.79,74.43,72.37,74.28,39304329
2024-06-26,73.6,74.7,73.41,74.46,36274772
2024-06-27,74.32,75.6988,73.92,75.0,37057738
2024-06-28,75.29,77.53,73.4501,73.82,53901476
2024-07-01,74.16,75.2899,72.4199,75.03,43278690
2024-07-02,74.29,77.38,74.24,77.33,37475143
2024-07-03,76.95,79.31,76.95,79.23,28075243
2024-07-05,79.57,81.85,79.43,81.63,39812276
2024-07-08,81.81,82.465,81.28,82.17,36682849
2024-07-09,82.92,83.49,81.62,82.35,36186544
2024-07-10,83.32,85.2,82.6706,84.93,38777428
2024-07-11,84.97,85.06,78.7,79.35,74664485
2024-07-12,79.51,82.94,79.295,80.64,50509879
2024-07-15,81.47,83.62,80.23,81.24,54950241
2024-07-16,81.94,82.35,79.74,81.3,41818796
2024-07-17,77.33,77.57,74.09,74.15,71420013
2024-07-18,75.81,75.9199,71.55,73.04,65839241
2024-07-19,72.8,73.97,70.44,71.06,59124815
2024-07-22,73.65,74.63,72.12,74.16,56404284
2024-07-23,73.73,75.1271,73.14,73.36,43563549
2024-07-24,70.23,70.3801,65.045,65.45,79787624
2024-07-25,65.56,67.34,62.13,63.27,94063997
2024-07-26,65.0,66.34,63.78,65.08,68703452
2024-07-29,66.27,67.1854,64.52,65.46,57820438
2024-07-30,66.28,66.5901,61.34,62.79,71531847
2024-07-31,66.98,69.0,66.38,68.28,86704189
2024-08-01,68.58,70.22,61.704,63.36,105346568
2024-08-02,59.65,60.715,57.0,58.74,104922004
2024-08-05,49.33,56.185,48.8,53.62,143962225
2024-08-06,54.13,57.75,53.14,54.96,96454662
2024-08-07,57.57,58.51,53.0,53.19,91375823
2024-08-08,55.45,58.35,54.01,58.06,76439627
